Provinces Name,Provinces Code,Series Name,Series Code,2013 [YR2013]
"Barito Selatan, Kab.",ID.KT.BS,Human Development Index,IDX.HDI,74.54
"Barito Timur, Kab.",ID.KT.BT,Human Development Index,IDX.HDI,73.86
"Barito Utara, Kab.",ID.KT.BU,Human Development Index,IDX.HDI,76.13
"Gunung Mas, Kab.",ID.KT.GM,Human Development Index,IDX.HDI,74.26
"Kapuas, Kab.",ID.KT.KA,Human Development Index,IDX.HDI,74.48
"Katingan, Kab.",ID.KT.KG,Human Development Index,IDX.HDI,73.83
"Kotawaringin Barat, Kab.",ID.KT.KB,Human Development Index,IDX.HDI,75.11
"Kotawaringin Timur, Kab.",ID.KT.KT,Human Development Index,IDX.HDI,75.4
"Lamandau, Kab.",ID.KT.LA,Human Development Index,IDX.HDI,73.29
"Murung Raya, Kab.",ID.KT.MR,Human Development Index,IDX.HDI,73.98
"Palangkaraya, Kota",ID.KT.PR,Human Development Index,IDX.HDI,79.52
"Pulang Pisau, Kab.",ID.KT.PP,Human Development Index,IDX.HDI,73.18
"Seruyan, Kab.",ID.KT.SE,Human Development Index,IDX.HDI,73.36
"Sukamara, Kab.",ID.KT.SU,Human Development Index,IDX.HDI,73.24
"Balikpapan, Kota",ID.KI.BA,Human Development Index,IDX.HDI,79.87
"Berau, Kab.",ID.KI.BE,Human Development Index,IDX.HDI,75.83
"Bontang, Kota",ID.KI.BO,Human Development Index,IDX.HDI,78.4
"Kutai Barat, Kab.",ID.KI.KB,Human Development Index,IDX.HDI,74.61
"Kutai Kartanegara, Kab.",ID.KI.KU,Human Development Index,IDX.HDI,74.8
"Kutai Timur, Kab.",ID.KI.KT,Human Development Index,IDX.HDI,74.23
"Mahakam Hulu, Kab.",ID.KI.MH,Human Development Index,IDX.HDI,73
"Pasir, Kab.",ID.KI.PA,Human Development Index,IDX.HDI,76.56
"Penajam Paser Utara, Kab.",ID.KI.PP,Human Development Index,IDX.HDI,74.82
"Samarinda, Kota",ID.KI.SA,Human Development Index,IDX.HDI,78.79
"Bulungan, Kab.",ID.KI.BU,Human Development Index,IDX.HDI,76.31
"Malinau, Kab.",ID.KI.MA,Human Development Index,IDX.HDI,74.33
"Nunukan, Kab.",ID.KI.NU,Human Development Index,IDX.HDI,75.13
"Tana Tidung, Kab.",ID.KU.TT,Human Development Index,IDX.HDI,73.2
"Tarakan, Kota",ID.KI.TA,Human Development Index,IDX.HDI,78.07
"Bangka Barat, Kab.",ID.BB.BB,Human Development Index,IDX.HDI,71.46
"Bangka Selatan, Kab.",ID.BB.BS,Human Development Index,IDX.HDI,68.58
"Bangka Tengah, Kab.",ID.BB.BG,Human Development Index,IDX.HDI,72.64
"Bangka, Kab.",ID.BB.BA,Human Development Index,IDX.HDI,74.05
